dog_breed,dog_age,vaccinated,grooming,rabies,fever,lethargy,behavior_change,aggression,excessive_drooling,difficulty_swallowing,seizures,staggering_gait,hind_leg_paralysis,jaw_dropped
Shih Tzu,9,no,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,9,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no
Pomeranian,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,1,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Boxer,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Great Dane,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,15,no,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,6,no,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,10,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
Bulldog,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,5,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no
Boxer,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,12,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no
Beagle,7,no,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,11,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,6,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes
French Bulldog,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,15,no,no,no,no,yes,no,no,no,no,no,no,no,no
Chihuahua,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Boxer,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,5,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no
Pomeranian,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,6,no,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,6,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Rottweiler,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,10,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no
Great Dane,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,15,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no
German Shepherd,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,6,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
Great Dane,15,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no
French Bulldog,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,15,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Rottweiler,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,13,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no
German Shepherd,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,9,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
German Shepherd,14,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Boxer,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,2,no,no,yes,no,yes,no,no,no,no,no,no,no,no
Pomeranian,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
